file,line,size,real-size,type,subtype,name,heap?,id,total free,hex address,sum_alloc,actual_sum_alloc
tag_files\string_ids.cpp,147,4186112,4186196,,,,h,2,536870912,0000000020128040,4186112,4186196
tag_files\string_ids.cpp,150,26163200,26163284,,,,h,3,536870912,000000002053F040,30349312,30349480
tag_files\tag_groups.cpp,5852,32,116,bs codes,short_block,,h,6,536870912,0000000000FDA830,30349344,30349596
tag_files\tag_groups.cpp,5852,64,148,bs codes,mapping_function,,h,7,536870912,000000001B91E030,30349408,30349744
tag_files\tag_groups.cpp,5852,32,116,bs codes,byte_block,,h,8,536870912,0000000000FD9CB0,30349440,30349860
tag_files\tag_groups.cpp,5852,48,132,bs codes,function_definition_fields_v2,,h,9,536870912,000000001B913310,30349488,30349992
tag_files\tag_groups.cpp,5852,32,116,bs codes,real_block,,h,10,536870912,0000000000FDA230,30349520,30350108
tag_files\tag_groups.cpp,5852,112,196,bs codes,function_definition_fields_v1,,h,11,536870912,0000000000F944E0,30349632,30350304
tag_files\tag_groups.cpp,5852,72,156,bs codes,render_method_animated_parameter_block,,h,12,536870912,000000001B8F0A60,30349704,30350460
tag_files\tag_groups.cpp,5852,176,260,bs codes,render_method_parameter_block,,h,13,536870912,000000001B9017E0,30349880,30350720
tag_files\tag_groups.cpp,5852,32,116,bs codes,tag_block_index_struct,,h,14,536870912,0000000000FDA8B0,30349912,30350836
tag_files\tag_groups.cpp,5852,136,220,bs codes,render_method_postprocess_texture_block,,h,15,536870912,000000001B9004B0,30350048,30351056
tag_files\tag_groups.cpp,5852,56,140,bs codes,real_vector4d_block,,h,16,536870912,000000001B91E2B0,30350104,30351196
tag_files\tag_groups.cpp,5852,32,116,bs codes,int_block,,h,17,536870912,0000000000FDA6B0,30350136,30351312
tag_files\tag_groups.cpp,5852,40,124,bs codes,tag_block_index_block,,h,18,536870912,000000001B9133A0,30350176,30351436
tag_files\tag_groups.cpp,5852,48,132,bs codes,render_method_postprocess_pass_block,,h,19,536870912,000000001B914870,30350224,30351568
tag_files\tag_groups.cpp,5852,48,132,bs codes,render_method_routing_info_block,,h,20,536870912,000000001B913160,30350272,30351700
tag_files\tag_groups.cpp,5852,32,116,bs codes,runtime_queryable_properties,,h,21,536870912,0000000000FD9B30,30350304,30351816
tag_files\tag_groups.cpp,5852,64,148,bs codes,constant_buffer_descriptor_struct,,h,22,536870912,000000001B91CF50,30350368,30351964
tag_files\tag_groups.cpp,5852,48,132,bs codes,constant_buffers_block,,h,23,536870912,000000001B9142D0,30350416,30352096
tag_files\tag_groups.cpp,5852,40,124,bs codes,constant_buffer_indices_block,,h,24,536870912,000000001B9143F0,30350456,30352220
tag_files\tag_groups.cpp,5852,72,156,bs codes,constant_buffer_resource_definition_struct,,h,25,536870912,000000001B8F0380,30350528,30352376
tag_files\tag_groups.cpp,5852,312,396,bs codes,render_method_postprocess_block,,h,26,536870912,000000001B93A0C0,30350840,30352772
tag_files\tag_groups.cpp,5852,168,252,bs codes,render_method_struct_definition,,h,27,536870912,000000001B9026C0,30351008,30353024
tag_files\tag_groups.cpp,5852,40,124,bs codes,shader_contrail_struct_definition,,h,28,536870912,000000001B9130D0,30351048,30353148
tag_files\tag_groups.cpp,5852,168,252,bs codes,shader_contrail_struct_definition,,h,29,536870912,000000001B9027D0,30351216,30353400
tag_files\tag_groups.cpp,5852,40,124,bs codes,shader_particle_struct_definition,,h,30,536870912,000000001B913D30,30351256,30353524
tag_files\tag_groups.cpp,5852,168,252,bs codes,shader_particle_struct_definition,,h,31,536870912,000000001B901A00,30351424,30353776
tag_files\tag_groups.cpp,5852,64,148,bs codes,sound_resource_definition_struct,,h,32,536870912,000000001B91D770,30351488,30353924
tag_files\tag_groups.cpp,5852,152,236,bs codes,cache_file_sound_struct_definition,,h,33,536870912,000000001B93A260,30351640,30354160
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_resource_layer_identifier_struct,,h,34,536870912,000000001B91E990,30351696,30354300
tag_files\tag_groups.cpp,5852,48,132,bs codes,scenario_object_names_block,,h,35,536870912,000000001B913A60,30351744,30354432
tag_files\tag_groups.cpp,5852,64,148,bs codes,dont_use_me_scenario_environment_object_block,,h,36,536870912,000000001B91E350,30351808,30354580
tag_files\tag_groups.cpp,5852,256,340,bs codes,scenario_structure_bsp_reference_block,,h,37,536870912,000000001B93A360,30352064,30354920
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_scenery_palette_block,,h,38,536870912,000000001B91E8F0,30352120,30355060
tag_files\tag_groups.cpp,5852,32,116,bs codes,scenario_object_node_orientations_bit_vector_block,,h,39,536870912,0000000000FD9FB0,30352152,30355176
tag_files\tag_groups.cpp,5852,32,116,bs codes,scenario_object_node_orientations_orientations_block,,h,40,536870912,0000000000FD9D30,30352184,30355292
tag_files\tag_groups.cpp,5852,88,172,bs codes,scenario_object_node_orientations_block,,h,41,536870912,000000001B9237F0,30352272,30355464
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_object_id_struct,,h,42,536870912,000000001B91E490,30352328,30355604
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_object_parent_struct,,h,43,536870912,000000001B91D3B0,30352384,30355744
tag_files\tag_groups.cpp,5852,208,292,bs codes,scenario_object_datum_struct,,h,44,536870912,000000001B8FAFD0,30352592,30356036
tag_files\tag_groups.cpp,5852,208,292,bs codes,g_new_scenario_object_datum_fields,,h,45,536870912,000000001B8FB230,30352800,30356328
tag_files\tag_groups.cpp,5852,72,156,bs codes,scenario_object_permutation_struct,,h,46,536870912,000000001B8F0C70,30352872,30356484
tag_files\tag_groups.cpp,5852,40,124,bs codes,pathfinding_object_index_list_block,,h,47,536870912,000000001B913550,30352912,30356608
tag_files\tag_groups.cpp,5852,80,164,bs codes,scenario_scenery_datum_struct_v4,,h,48,536870912,000000001B8F0E80,30352992,30356772
tag_files\tag_groups.cpp,5852,184,268,bs codes,scenario_multiplayer_object_struct,,h,49,536870912,000000001B934880,30353176,30357040
tag_files\tag_groups.cpp,5852,104,188,bs codes,scenario_scenery_block,,h,50,536870912,000000001B93B4D0,30353280,30357228
tag_files\tag_groups.cpp,5852,64,148,bs codes,scenario_scenery_datum_struct_v3,,h,51,536870912,000000001B91D810,30353344,30357376
tag_files\tag_groups.cpp,5852,88,172,bs codes,scenario_scenery_fields_v3,,h,52,536870912,000000001B9226B0,30353432,30357548
tag_files\tag_groups.cpp,5852,88,172,bs codes,scenario_scenery_fields_v3,,h,53,536870912,000000001B921FF0,30353520,30357720
tag_files\tag_groups.cpp,5852,64,148,bs codes,scenario_scenery_datum_struct_v2,,h,54,536870912,000000001B91E7B0,30353584,30357868
tag_files\tag_groups.cpp,5852,88,172,bs codes,scenario_scenery_fields_v2,,h,55,536870912,000000001B922D70,30353672,30358040
tag_files\tag_groups.cpp,5852,176,260,bs codes,scenario_scenery_fields_v1,,h,56,536870912,000000001B900F60,30353848,30358300
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_crate_palette_block,,h,57,536870912,000000001B91CFF0,30353904,30358440
tag_files\tag_groups.cpp,5852,64,148,bs codes,scenario_crate_datum_struct,,h,58,536870912,000000001B91CC30,30353968,30358588
tag_files\tag_groups.cpp,5852,104,188,bs codes,scenario_crate_block,,h,59,536870912,000000001B93B5A0,30354072,30358776
tag_files\tag_groups.cpp,5852,40,124,bs codes,g_scenario_editor_folder_block,,h,60,536870912,000000001B9146C0,30354112,30358900
tag_files\tag_groups.cpp,5852,248,332,bs codes,scenario_scenery_resource_struct_definition,,h,61,536870912,000000001B93B670,30354360,30359232
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_weapon_palette_block,,h,62,536870912,000000001B91CB90,30354416,30359372
tag_files\tag_groups.cpp,5852,48,132,bs codes,scenario_weapon_datum_struct,,h,63,536870912,000000001B9131F0,30354464,30359504
tag_files\tag_groups.cpp,5852,104,188,bs codes,scenario_weapon_block,,h,64,536870912,000000001B93B7D0,30354568,30359692
tag_files\tag_groups.cpp,5852,104,188,bs codes,scenario_weapon_fields_v2,,h,65,536870912,000000001B93B8A0,30354672,30359880
tag_files\tag_groups.cpp,5852,176,260,bs codes,scenario_weapon_fields_v1,,h,66,536870912,000000001B9028E0,30354848,30360140
tag_files\tag_groups.cpp,5852,192,276,bs codes,scenario_weapons_resource_struct_definition,,h,67,536870912,000000001B935720,30355040,30360416
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_vehicle_palette_block,,h,68,536870912,000000001B91D090,30355096,30360556
tag_files\tag_groups.cpp,5852,40,124,bs codes,scenario_unit_struct,,h,69,536870912,000000001B914480,30355136,30360680
tag_files\tag_groups.cpp,5852,104,188,bs codes,scenario_vehicle_block,,h,70,536870912,000000001B93B970,30355240,30360868
tag_files\tag_groups.cpp,5852,104,188,bs codes,scenario_vehicle_fields_v2,,h,71,536870912,000000001B93BA40,30355344,30361056
tag_files\tag_groups.cpp,5852,48,132,bs codes,old_scenario_unit_struct,,h,72,536870912,000000001B913430,30355392,30361188
tag_files\tag_groups.cpp,5852,160,244,bs codes,scenario_vehicle_fields_v1,,h,73,536870912,000000001B93BB10,30355552,30361432
tag_files\tag_groups.cpp,5852,192,276,bs codes,scenario_vehicles_resource_struct_definition,,h,74,536870912,000000001B935F00,30355744,30361708
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_effect_scenery_palette_block,,h,75,536870912,000000001B91CCD0,30355800,30361848
tag_files\tag_groups.cpp,5852,24,108,bs codes,scenario_effect_scenery_datum_struct,,h,76,536870912,0000000000FDA730,30355824,30361956
tag_files\tag_groups.cpp,5852,72,156,bs codes,scenario_effect_scenery_block,,h,77,536870912,000000001B8F0FE0,30355896,30362112
tag_files\tag_groups.cpp,5852,192,276,bs codes,scenario_effect_scenery_resource_struct_definition,,h,78,536870912,000000001B936140,30356088,30362388
tag_files\tag_groups.cpp,5852,56,140,bs codes,scenario_light_palette_block,,h,79,536870912,000000001B91DB30,30356144,30362528
tag_files\tag_groups.cpp,5852,48,132,bs codes,scenario_device_struct,,h,80,536870912,000000001B913670,30356192,30362660
tag_files\tag_groups.cpp,5852,136,220,bs codes,scenario_light_struct,,h,81,536870912,000000001B9005A0,30356328,30362880
tag_files\tag_groups.cpp,5852,88,172,bs codes,scenario_light_block,,h,82,536870912,000000001B922BF0,30356416,30363052
tag_files\tag_groups.cpp,5852,88,172,bs codes,scenario_light_fields_v2,,h,83,536870912,000000001B9222F0,30356504,30363224
tag_files\tag_groups.cpp,5852,248,332,bs codes,scenario_light_fields_v1,,h,84,536870912,000000001B93BC10,30356752,30363556
